Serial Number of system during year,Basin of origin,Name,Date(DD/MM/YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),,,,,,,,
1,BOB,AMPHAN,16/05/2020,0000,10.4,87.0,1.5,1000,25,3,D,,,,,,,,,,
1,BOB,AMPHAN,16/05/2020,0300,10.7,86.5,1.5,1000,25,3,D,,,,,,,,,,
1,BOB,AMPHAN,16/05/2020,0600,10.9,86.3,1.5,1000,25,3,D,,,,,,,,,,
1,BOB,AMPHAN,16/05/2020,0900,10.9,86.3,2.0,998,30,5,DD,,,,,,,,,,
1,BOB,AMPHAN,16/05/2020,1200,10.9,86.3,2.5,996,35,7,CS,,,,,,,,,,
1,BOB,AMPHAN,16/05/2020,1500,11.0,86.2,2.5,995,40,8,CS,,,,,,,,,,
1,BOB,AMPHAN,16/05/2020,1800,11.1,86.1,2.5,995,40,8,CS,,,,,,,,,,
1,BOB,AMPHAN,16/05/2020,2100,11.3,86.1,3.0,994,45,10,CS,,,,,,,,,,
1,BOB,AMPHAN,17/05/2020,0000,11.4,86.0,3.0,992,45,10,CS,,,,,,,,,,
1,BOB,AMPHAN,17/05/2020,0300,11.4,86.0,3.0,990,50,12,SCS,,,,,,,,,,
1,BOB,AMPHAN,17/05/2020,0600,11.5,86.0,3.5,988,55,15,SCS,,,,,,,,,,
1,BOB,AMPHAN,17/05/2020,0900,11.7,86.0,4.0,980,65,22,VSCS,,,,,,,,,,
1,BOB,AMPHAN,17/05/2020,1200,12.0,86.0,4.0,978,70,25,VSCS,,,,,,,,,,
1,BOB,AMPHAN,17/05/2020,1500,12.8,86.2,4.0,978,70,25,VSCS,,,,,,,,,,
